temperature_2m,wind_speed_10m,wind_direction_10m,cloud_cover,shortwave_radiation,precipitation,Price (EUR/MWhe),P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Datetime (UTC),hour,day_of_week,month,is_weekend
10.5,4.3,265,48,0.0,0.0,95.72,0.0,0.0,0.0,0.0,0.0,12.85,1.45,2023-07-01 00:00:00,0,5,7,1
10.4,2.5,188,53,0.0,0.0,89.61,0.0,0.0,0.0,0.0,0.0,11.9,1.45,2023-07-01 01:00:00,1,5,7,1
8.9,3.1,159,100,0.0,0.0,86.94,0.0,0.0,0.0,0.0,0.0,10.94,1.52,2023-07-01 02:00:00,2,5,7,1
9.0,3.4,162,100,0.0,0.0,80.18,2.06,0.0,10.17,0.15,2.03,10.32,1.66,2023-07-01 03:00:00,3,5,7,1
9.7,4.0,153,100,9.0,0.0,76.74,110.4,92.79,56.78,1.25,10.17,10.96,1.72,2023-07-01 04:00:00,4,5,7,1
11.0,6.4,164,100,47.0,0.0,77.02,140.28,106.13,77.79,2.19,19.05,13.74,1.72,2023-07-01 05:00:00,5,5,7,1
12.9,6.5,174,57,108.0,0.0,68.84,224.47,153.12,129.31,4.04,28.35,16.03,2.48,2023-07-01 06:00:00,6,5,7,1
16.1,11.3,187,70,377.0,0.0,59.82,330.56,281.97,125.05,6.78,37.72,17.12,3.86,2023-07-01 07:00:00,7,5,7,1
17.5,16.3,211,77,486.0,0.0,41.66,380.94,336.74,130.87,8.68,46.71,18.92,4.62,2023-07-01 08:00:00,8,5,7,1
19.6,20.6,224,100,469.0,0.0,25.46,421.29,354.72,162.34,10.15,54.61,20.36,5.38,2023-07-01 09:00:00,9,5,7,1
20.2,21.4,226,92,631.0,0.0,14.09,410.71,290.43,214.61,9.84,60.21,21.5,6.07,2023-07-01 10:00:00,10,5,7,1
19.1,19.1,234,99,501.0,0.0,6.33,331.21,106.23,305.14,6.92,61.91,22.62,6.76,2023-07-01 11:00:00,11,5,7,1
19.2,20.8,233,97,301.0,0.1,3.35,197.06,33.26,218.21,3.9,59.0,22.27,6.69,2023-07-01 12:00:00,12,5,7,1
18.5,19.2,236,100,298.0,0.1,7.16,143.27,15.77,171.77,2.81,52.62,21.17,6.21,2023-07-01 13:00:00,13,5,7,1
16.9,17.8,222,100,159.0,0.0,12.15,101.01,5.89,131.51,2.01,44.33,20.2,6.0,2023-07-01 14:00:00,14,5,7,1
17.6,18.9,230,100,125.0,0.6,50.32,60.48,3.22,85.68,1.29,35.18,19.46,5.66,2023-07-01 15:00:00,15,5,7,1
17.0,17.1,235,100,150.0,0.2,73.47,29.86,0.47,50.37,0.73,25.79,19.03,4.9,2023-07-01 16:00:00,16,5,7,1
16.5,13.2,235,100,74.0,0.0,88.49,5.91,0.92,16.38,0.24,16.57,18.24,4.34,2023-07-01 17:00:00,17,5,7,1
16.1,12.5,213,100,46.0,0.0,94.4,3.0,3.59,8.89,0.15,7.86,17.55,4.21,2023-07-01 18:00:00,18,5,7,1
16.1,13.5,222,100,10.0,0.0,95.98,0.0,0.0,0.0,0.0,-0.01,16.56,4.0,2023-07-01 19:00:00,19,5,7,1
15.9,12.7,227,97,1.0,0.1,93.5,0.0,0.0,0.0,0.0,0.0,16.56,4.0,2023-07-01 20:00:00,20,5,7,1
15.8,12.6,243,100,0.0,0.0,84.44,0.0,0.0,0.0,0.0,0.0,16.45,4.0,2023-07-01 21:00:00,21,5,7,1
15.7,11.1,245,100,0.0,0.0,37.37,0.0,0.0,0.0,0.0,0.0,16.48,4.76,2023-07-01 22:00:00,22,5,7,1
15.4,11.3,253,100,0.0,0.0,27.3,0.0,0.0,0.0,0.0,0.0,16.05,3.72,2023-07-01 23:00:00,23,5,7,1
15.4,12.5,258,100,0.0,0.0,23.06,0.0,0.0,0.0,0.0,0.0,15.66,3.38,2023-07-02 00:00:00,0,6,7,1
14.9,9.8,264,99,0.0,0.0,17.16,0.0,0.0,0.0,0.0,0.0,15.29,3.17,2023-07-02 01:00:00,1,6,7,1
14.4,12.6,268,88,0.0,0.0,10.77,0.0,0.0,0.0,0.0,0.0,15.01,3.1,2023-07-02 02:00:00,2,6,7,1
14.4,10.8,266,97,0.0,0.0,5.79,0.0,0.0,5.27,0.08,1.95,14.63,3.17,2023-07-02 03:00:00,3,6,7,1
13.9,8.4,250,91,12.0,0.0,3.6,32.1,20.09,33.99,0.59,10.09,14.47,3.24,2023-07-02 04:00:00,4,6,7,1
14.4,10.8,240,73,92.0,0.0,-2.65,86.85,30.62,88.77,1.58,18.97,14.63,3.45,2023-07-02 05:00:00,5,6,7,1
15.1,13.7,252,71,211.0,0.0,-7.18,217.87,160.7,111.62,3.9,28.27,15.08,4.21,2023-07-02 06:00:00,6,6,7,1
15.2,15.7,250,65,222.0,0.0,-25.45,267.52,177.3,151.18,5.31,37.64,15.99,4.9,2023-07-02 07:00:00,7,6,7,1
16.5,18.4,259,92,380.0,0.0,-42.18,303.12,198.76,170.26,6.47,46.63,16.54,5.17,2023-07-02 08:00:00,8,6,7,1
17.4,18.6,260,88,455.0,0.0,-81.76,298.05,182.23,180.68,6.6,54.53,17.45,5.72,2023-07-02 09:00:00,9,6,7,1
18.1,18.5,263,87,513.0,0.0,-138.69,311.91,220.1,158.88,7.33,60.13,18.03,5.93,2023-07-02 10:00:00,10,6,7,1
18.9,20.8,261,100,538.0,0.0,-196.7,315.89,218.38,166.38,7.48,61.84,18.91,6.34,2023-07-02 11:00:00,11,6,7,1
19.0,21.3,266,96,507.0,0.0,-316.4,359.86,230.31,208.33,8.34,58.95,19.43,6.48,2023-07-02 12:00:00,12,6,7,1
19.6,20.9,271,14,582.0,0.0,-260.97,285.22,172.92,178.99,6.38,52.59,20.09,6.69,2023-07-02 13:00:00,13,6,7,1
19.5,15.1,252,80,390.0,0.0,-102.46,284.53,168.67,184.49,6.07,44.3,20.15,6.07,2023-07-02 14:00:00,14,6,7,1
19.9,20.2,265,100,492.0,0.0,-40.14,223.66,137.74,145.43,4.5,35.16,20.34,5.93,2023-07-02 15:00:00,15,6,7,1
19.7,16.6,283,77,367.0,0.0,-4.97,175.9,123.69,105.36,3.22,25.77,20.11,5.45,2023-07-02 16:00:00,16,6,7,1
19.1,13.6,281,41,323.0,0.0,16.81,133.76,102.4,78.98,2.07,16.54,19.71,4.55,2023-07-02 17:00:00,17,6,7,1
18.4,12.9,283,28,193.0,0.0,62.8,61.61,57.41,37.6,0.75,7.83,19.15,3.86,2023-07-02 18:00:00,18,6,7,1
16.3,6.5,276,10,85.0,0.0,74.49,0.0,0.0,0.0,0.0,-0.05,18.42,3.1,2023-07-02 19:00:00,19,6,7,1
14.6,7.6,278,0,8.0,0.0,82.48,0.0,0.0,0.0,0.0,0.0,17.57,2.48,2023-07-02 20:00:00,20,6,7,1
14.4,7.2,273,22,0.0,0.0,72.67,0.0,0.0,0.0,0.0,0.0,16.56,2.14,2023-07-02 21:00:00,21,6,7,1
12.7,4.7,274,26,0.0,0.0,70.44,0.0,0.0,0.0,0.0,0.0,15.97,2.0,2023-07-02 22:00:00,22,6,7,1
13.7,5.4,250,100,0.0,0.0,56.25,0.0,0.0,0.0,0.0,0.0,15.48,2.07,2023-07-02 23:00:00,23,6,7,1
14.4,4.6,231,70,0.0,0.0,36.67,0.0,0.0,0.0,0.0,0.0,15.38,2.28,2023-07-03 00:00:00,0,0,7,0
13.5,6.2,234,0,0.0,0.0,28.06,0.0,0.0,0.0,0.0,0.0,15.35,2.76,2023-07-03 01:00:00,1,0,7,0
13.6,11.7,259,88,0.0,0.0,29.98,0.0,0.0,0.0,0.0,0.0,15.33,3.31,2023-07-03 02:00:00,2,0,7,0
13.0,8.8,258,44,0.0,0.0,56.5,1.24,0.0,8.63,0.12,1.86,15.08,3.59,2023-07-03 03:00:00,3,0,7,0
12.7,8.9,230,46,13.0,0.0,86.32,86.87,60.26,61.92,1.15,10.0,14.7,3.79,2023-07-03 04:00:00,4,0,7,0
13.5,15.4,249,51,77.0,0.0,108.5,189.92,148.89,93.87,2.82,18.89,14.74,3.79,2023-07-03 05:00:00,5,0,7,0
14.7,17.1,252,0,255.0,0.0,101.06,248.67,195.02,113.4,4.42,28.19,15.2,4.9,2023-07-03 06:00:00,6,0,7,0
15.6,17.6,255,52,418.0,0.0,56.02,337.31,291.11,119.84,6.88,37.56,15.71,4.97,2023-07-03 07:00:00,7,0,7,0
16.4,19.6,256,28,512.0,0.0,15.77,343.86,231.59,185.53,7.38,46.55,16.72,5.59,2023-07-03 08:00:00,8,0,7,0
17.3,18.9,256,41,447.0,0.0,5.92,275.13,72.15,264.74,5.41,54.44,17.4,5.93,2023-07-03 09:00:00,9,0,7,0
17.1,16.1,241,77,454.0,0.0,0.26,250.21,42.34,265.81,4.81,60.05,17.5,5.79,2023-07-03 10:00:00,10,0,7,0
17.8,23.5,249,78,412.0,0.0,0.83,287.19,59.93,291.97,5.62,61.76,17.76,5.52,2023-07-03 11:00:00,11,0,7,0
18.3,18.5,257,83,430.0,0.0,-1.8,269.06,51.72,279.8,5.23,58.9,18.4,5.79,2023-07-03 12:00:00,12,0,7,0
19.3,21.9,247,100,499.0,0.0,4.55,225.31,12.85,268.39,4.14,52.55,18.74,5.72,2023-07-03 13:00:00,13,0,7,0
18.3,19.9,266,100,406.0,0.0,6.96,198.07,35.82,213.94,3.8,44.27,18.89,5.66,2023-07-03 14:00:00,14,0,7,0
19.1,18.2,261,100,404.0,0.0,30.75,151.82,34.22,162.48,2.93,35.13,19.25,5.52,2023-07-03 15:00:00,15,0,7,0
19.8,18.6,248,97,365.0,0.0,85.72,112.3,18.91,131.98,2.16,25.74,19.41,5.1,2023-07-03 16:00:00,16,0,7,0
19.6,16.6,248,9,361.0,0.0,109.66,73.85,29.31,77.3,1.38,16.51,19.37,4.21,2023-07-03 17:00:00,17,0,7,0
19.1,12.9,247,0,219.0,0.0,122.15,87.63,81.31,46.86,0.95,7.79,19.05,3.45,2023-07-03 18:00:00,18,0,7,0
17.4,8.1,249,13,83.0,0.0,124.69,0.0,0.0,0.0,0.0,-0.09,17.86,2.76,2023-07-03 19:00:00,19,0,7,0
14.9,4.7,238,3,7.0,0.0,117.58,0.0,0.0,0.0,0.0,0.0,16.6,2.21,2023-07-03 20:00:00,20,0,7,0
14.1,4.3,222,15,0.0,0.0,106.97,0.0,0.0,0.0,0.0,0.0,15.53,2.21,2023-07-03 21:00:00,21,0,7,0
13.9,5.1,231,47,0.0,0.0,88.26,0.0,0.0,0.0,0.0,0.0,14.73,2.34,2023-07-03 22:00:00,22,0,7,0
14.2,7.9,231,70,0.0,0.0,76.53,0.0,0.0,0.0,0.0,0.0,14.62,2.69,2023-07-03 23:00:00,23,0,7,0
14.5,6.8,238,72,0.0,0.0,66.61,0.0,0.0,0.0,0.0,0.0,14.55,3.03,2023-07-04 00:00:00,0,1,7,0
14.2,9.2,249,51,0.0,0.0,64.33,0.0,0.0,0.0,0.0,0.0,14.53,3.31,2023-07-04 01:00:00,1,1,7,0
13.3,6.6,248,0,0.0,0.0,68.69,0.0,0.0,0.0,0.0,0.0,14.34,3.52,2023-07-04 02:00:00,2,1,7,0
12.6,5.2,236,0,0.0,0.0,80.68,1.66,0.0,9.47,0.14,1.77,14.07,3.59,2023-07-04 03:00:00,3,1,7,0
12.2,5.1,225,0,15.0,0.0,106.9,129.58,116.11,58.63,1.38,9.91,14.02,3.66,2023-07-04 04:00:00,4,1,7,0
13.7,12.6,243,7,107.0,0.0,120.18,220.79,195.19,85.14,3.18,18.8,14.6,3.66,2023-07-04 05:00:00,5,1,7,0
15.4,14.4,238,17,242.0,0.0,113.08,290.53,265.32,94.63,5.17,28.1,15.58,4.41,2023-07-04 06:00:00,6,1,7,0
16.3,16.8,247,39,346.0,0.0,77.29,342.51,303.3,116.29,7.05,37.47,16.65,4.69,2023-07-04 07:00:00,7,1,7,0
17.5,17.6,247,61,520.0,0.0,38.74,380.24,345.07,118.6,8.68,46.46,17.71,4.97,2023-07-04 08:00:00,8,1,7,0
18.1,18.2,252,42,594.0,0.0,16.32,402.8,376.34,113.29,9.86,54.35,18.95,6.0,2023-07-04 09:00:00,9,1,7,0
19.7,19.1,250,71,699.0,0.0,7.6,369.84,259.58,191.92,8.78,59.96,19.91,6.21,2023-07-04 10:00:00,10,1,7,0
21.1,18.2,243,37,786.0,0.0,6.53,404.92,306.49,188.66,9.94,61.68,20.57,6.21,2023-07-04 11:00:00,11,1,7,0
21.8,20.2,251,43,768.0,0.0,13.02,329.71,215.37,191.09,7.74,58.83,21.41,6.48,2023-07-04 12:00:00,12,1,7,0
22.1,18.9,252,100,725.0,0.0,38.77,324.12,233.69,167.53,7.57,52.5,21.37,5.93,2023-07-04 13:00:00,13,1,7,0
22.3,18.2,243,35,575.0,0.0,74.44,239.64,121.81,180.41,5.07,44.23,21.65,5.79,2023-07-04 14:00:00,14,1,7,0
22.1,15.8,269,52,560.0,0.0,92.18,245.17,102.51,208.17,4.8,35.1,21.51,4.76,2023-07-04 15:00:00,15,1,7,0
22.1,12.6,250,65,379.0,0.0,115.15,228.76,181.28,114.91,4.17,25.71,21.52,3.86,2023-07-04 16:00:00,16,1,7,0
21.5,11.5,272,100,330.0,0.0,141.6,167.04,140.79,84.2,2.49,16.48,21.38,3.03,2023-07-04 17:00:00,17,1,7,0
20.7,4.3,294,100,185.0,0.0,165.3,95.98,89.27,50.98,1.02,7.75,20.84,1.59,2023-07-04 18:00:00,18,1,7,0
18.6,3.3,13,100,69.0,0.0,167.13,0.0,0.0,0.0,0.0,-0.14,20.39,0.48,2023-07-04 19:00:00,19,1,7,0
17.4,4.1,38,100,6.0,0.0,146.97,0.0,0.0,0.0,0.0,0.0,16.97,1.79,2023-07-04 20:00:00,20,1,7,0
16.0,6.8,65,100,0.0,0.0,128.12,0.0,0.0,0.0,0.0,0.0,15.37,2.21,2023-07-04 21:00:00,21,1,7,0
15.5,10.1,86,100,0.0,0.0,117.92,0.0,0.0,0.0,0.0,0.0,15.02,2.55,2023-07-04 22:00:00,22,1,7,0
15.4,6.9,96,92,0.0,0.0,105.79,0.0,0.0,0.0,0.0,0.0,14.92,2.69,2023-07-04 23:00:00,23,1,7,0
14.6,6.0,107,100,0.0,0.0,90.46,0.0,0.0,0.0,0.0,0.0,14.85,2.41,2023-07-05 00:00:00,0,2,7,0
14.6,6.9,129,100,0.0,0.0,84.01,0.0,0.0,0.0,0.0,0.0,14.73,2.48,2023-07-05 01:00:00,1,2,7,0
14.6,5.8,187,100,0.0,0.0,70.56,0.0,0.0,0.0,0.0,0.0,15.02,2.69,2023-07-05 02:00:00,2,2,7,0
14.0,6.9,174,100,0.0,0.6,75.6,0.92,0.0,7.93,0.11,1.67,15.31,2.69,2023-07-05 03:00:00,3,2,7,0
13.6,10.9,146,100,4.0,0.6,82.91,47.77,29.86,44.4,0.78,9.81,15.15,3.1,2023-07-05 04:00:00,4,2,7,0
13.8,8.7,150,100,19.0,0.0,98.31,121.15,62.35,98.61,2.02,18.7,15.59,3.79,2023-07-05 05:00:00,5,2,7,0
15.4,10.1,174,97,34.0,0.2,98.06,190.33,61.09,179.17,3.43,28.0,16.61,4.28,2023-07-05 06:00:00,6,2,7,0
16.4,16.1,209,92,64.0,0.0,80.69,215.33,44.19,225.58,4.03,37.37,18.54,5.66,2023-07-05 07:00:00,7,2,7,0
17.5,20.2,229,100,302.0,0.0,63.39,271.38,139.39,193.35,5.62,46.36,17.58,6.34,2023-07-05 08:00:00,8,2,7,0
17.7,24.1,235,88,559.0,0.0,32.86,372.84,272.07,179.96,8.62,54.25,18.12,6.28,2023-07-05 09:00:00,9,2,7,0
17.6,27.2,235,46,669.0,0.0,-1.7,429.43,380.1,139.17,10.77,59.86,18.83,6.83,2023-07-05 10:00:00,10,2,7,0
17.5,27.0,243,66,586.0,0.0,-10.98,450.38,424.49,120.59,11.64,61.6,19.41,7.17,2023-07-05 11:00:00,11,2,7,0
18.8,23.7,244,86,660.0,0.0,-17.35,429.52,355.05,166.77,10.66,58.76,19.7,7.17,2023-07-05 12:00:00,12,2,7,0
19.8,22.7,245,0,773.0,0.0,-11.05,415.43,397.19,109.5,10.3,52.45,19.84,7.03,2023-07-05 13:00:00,13,2,7,0
19.4,21.0,257,42,672.0,0.0,-2.57,375.35,328.08,134.1,8.6,44.19,20.2,6.83,2023-07-05 14:00:00,14,2,7,0
19.5,22.3,252,41,545.0,0.0,20.03,276.3,201.55,144.8,5.63,35.06,20.5,6.62,2023-07-05 15:00:00,15,2,7,0
19.2,20.2,251,41,445.0,0.0,77.36,196.11,139.22,113.86,3.57,25.67,20.18,6.55,2023-07-05 16:00:00,16,2,7,0
18.4,17.2,254,78,315.0,0.0,108.08,152.59,110.74,92.94,2.33,16.44,19.49,5.45,2023-07-05 17:00:00,17,2,7,0
17.7,14.0,269,51,155.0,0.0,123.47,64.5,52.7,45.3,0.82,7.7,18.53,4.48,2023-07-05 18:00:00,18,2,7,0
16.7,14.7,253,100,57.0,0.0,126.92,0.0,0.0,0.0,0.0,-0.2,17.29,3.79,2023-07-05 19:00:00,19,2,7,0
14.9,10.2,252,67,3.0,0.0,129.36,0.0,0.0,0.0,0.0,0.0,16.67,3.24,2023-07-05 20:00:00,20,2,7,0
14.5,11.0,259,98,0.0,0.0,116.66,0.0,0.0,0.0,0.0,0.0,16.19,3.03,2023-07-05 21:00:00,21,2,7,0
13.3,8.7,253,45,0.0,0.0,95.29,0.0,0.0,0.0,0.0,0.0,15.88,3.1,2023-07-05 22:00:00,22,2,7,0
13.0,9.2,244,32,0.0,0.0,88.12,0.0,0.0,0.0,0.0,0.0,15.36,3.03,2023-07-05 23:00:00,23,2,7,0
12.4,6.6,248,0,0.0,0.0,85.12,0.0,0.0,0.0,0.0,0.0,14.69,2.83,2023-07-06 00:00:00,0,3,7,0
11.7,5.4,233,0,0.0,0.0,84.87,0.0,0.0,0.0,0.0,0.0,14.01,2.62,2023-07-06 01:00:00,1,3,7,0
11.7,7.4,247,30,0.0,0.0,85.59,0.0,0.0,0.0,0.0,0.0,13.49,2.41,2023-07-06 02:00:00,2,3,7,0
10.6,4.5,256,0,0.0,0.0,95.36,1.33,0.0,8.77,0.13,1.57,13.05,2.28,2023-07-06 03:00:00,3,3,7,0
10.2,4.3,270,0,13.0,0.0,113.3,130.1,117.26,58.04,1.36,9.71,12.77,2.07,2023-07-06 04:00:00,4,3,7,0
12.1,4.1,225,0,104.0,0.0,126.04,224.74,203.16,82.91,3.22,18.6,13.71,2.0,2023-07-06 05:00:00,5,3,7,0
14.3,5.5,212,0,247.0,0.0,123.74,286.02,258.65,97.23,5.12,27.91,14.99,2.9,2023-07-06 06:00:00,6,3,7,0
16.0,7.7,242,33,388.0,0.0,106.17,335.8,319.89,95.46,7.05,37.28,16.22,2.48,2023-07-06 07:00:00,7,3,7,0
17.3,9.6,250,54,538.0,0.0,92.21,310.11,262.44,120.63,7.04,46.26,17.53,2.62,2023-07-06 08:00:00,8,3,7,0
18.7,9.7,248,28,639.0,0.0,84.54,399.65,365.2,127.3,9.87,54.15,18.43,2.83,2023-07-06 09:00:00,9,3,7,0
19.8,11.5,256,13,786.0,0.0,78.47,404.25,313.59,185.8,9.98,59.76,19.68,3.24,2023-07-06 10:00:00,10,3,7,0
20.8,11.8,258,0,871.0,0.0,74.38,349.43,170.42,263.97,7.88,61.5,20.63,3.31,2023-07-06 11:00:00,11,3,7,0
21.4,10.7,256,0,894.0,0.0,75.38,322.45,86.05,317.48,6.61,58.69,21.02,3.1,2023-07-06 12:00:00,12,3,7,0
22.3,10.8,268,100,865.0,0.0,83.26,282.41,85.42,269.91,5.81,52.39,21.22,2.97,2023-07-06 13:00:00,13,3,7,0
22.4,14.0,282,100,746.0,0.0,90.14,216.98,47.79,229.43,4.28,44.14,21.51,2.83,2023-07-06 14:00:00,14,3,7,0
22.3,9.1,279,5,573.0,0.0,103.72,141.53,29.99,157.57,2.79,35.01,21.46,2.41,2023-07-06 15:00:00,15,3,7,0
22.2,7.2,270,78,462.0,0.0,117.41,144.06,74.69,118.09,2.73,25.62,21.26,1.79,2023-07-06 16:00:00,16,3,7,0
21.4,5.8,300,0,349.0,0.0,149.67,145.08,115.98,82.4,2.24,16.39,21.12,1.31,2023-07-06 17:00:00,17,3,7,0
20.8,5.4,290,0,224.0,0.0,177.23,59.81,50.95,42.39,0.78,7.65,20.55,0.9,2023-07-06 18:00:00,18,3,7,0
18.8,3.3,347,100,83.0,0.0,177.0,0.0,0.0,0.0,0.0,-0.26,19.3,1.03,2023-07-06 19:00:00,19,3,7,0
16.4,5.1,352,0,7.0,0.0,140.3,0.0,0.0,0.0,0.0,0.0,17.12,1.38,2023-07-06 20:00:00,20,3,7,0
14.8,5.5,11,100,0.0,0.0,123.4,0.0,0.0,0.0,0.0,0.0,15.32,1.59,2023-07-06 21:00:00,21,3,7,0
13.9,5.1,45,0,0.0,0.0,114.25,0.0,0.0,0.0,0.0,0.0,14.35,1.59,2023-07-06 22:00:00,22,3,7,0
13.8,4.8,63,93,0.0,0.0,104.79,0.0,0.0,0.0,0.0,0.0,13.44,1.66,2023-07-06 23:00:00,23,3,7,0
12.5,6.1,45,85,0.0,0.0,98.35,0.0,0.0,0.0,0.0,0.0,12.42,1.72,2023-07-07 00:00:00,0,4,7,0
12.1,5.5,58,0,0.0,0.0,97.44,0.0,0.0,0.0,0.0,0.0,11.69,1.79,2023-07-07 01:00:00,1,4,7,0
11.6,4.3,66,0,0.0,0.0,98.41,0.0,0.0,0.0,0.0,0.0,11.5,1.72,2023-07-07 02:00:00,2,4,7,0
10.6,3.4,58,0,0.0,0.0,102.91,1.33,0.0,8.72,0.13,1.47,11.69,1.52,2023-07-07 03:00:00,3,4,7,0
10.4,2.9,60,0,13.0,0.0,132.99,139.78,128.47,58.71,1.42,9.61,12.09,1.31,2023-07-07 04:00:00,4,4,7,0
12.2,1.5,76,0,95.0,0.0,132.07,231.63,216.14,80.44,3.32,18.5,13.69,0.83,2023-07-07 05:00:00,5,4,7,0
15.0,3.0,104,0,240.0,0.0,116.87,295.58,285.58,89.66,5.41,27.81,16.71,0.97,2023-07-07 06:00:00,6,4,7,0
17.3,4.5,119,0,403.0,0.0,101.46,347.27,346.48,93.93,7.51,37.17,19.64,1.38,2023-07-07 07:00:00,7,4,7,0
19.9,4.8,103,0,562.0,0.0,90.31,383.95,390.57,95.81,9.29,46.16,21.97,2.07,2023-07-07 08:00:00,8,4,7,0
22.7,6.8,93,0,703.0,0.0,85.71,409.77,423.21,97.61,10.69,54.04,23.27,2.0,2023-07-07 09:00:00,9,4,7,0
24.6,7.4,119,0,813.0,0.0,80.06,419.57,433.11,103.24,11.44,59.65,24.26,1.72,2023-07-07 10:00:00,10,4,7,0
26.1,7.6,135,25,872.0,0.0,71.54,421.73,439.01,103.04,11.72,61.4,25.1,1.59,2023-07-07 11:00:00,11,4,7,0
26.0,3.6,53,3,887.0,0.0,69.61,409.31,415.63,113.63,11.23,58.61,25.84,1.45,2023-07-07 12:00:00,12,4,7,0
27.3,12.2,109,33,854.0,0.0,71.43,362.9,345.68,125.87,9.46,52.32,26.4,1.31,2023-07-07 13:00:00,13,4,7,0
27.7,10.9,171,47,720.0,0.0,83.44,351.04,352.09,108.44,8.71,44.09,26.73,1.1,2023-07-07 14:00:00,14,4,7,0
27.9,6.1,208,0,667.0,0.0,94.92,299.52,300.02,96.97,6.7,34.96,27.01,1.1,2023-07-07 15:00:00,15,4,7,0
27.6,2.2,180,0,533.0,0.0,117.29,256.48,260.16,85.42,4.89,25.57,27.0,1.1,2023-07-07 16:00:00,16,4,7,0
26.9,9.9,134,44,356.0,0.0,143.37,183.22,175.45,78.75,2.76,16.34,26.82,1.24,2023-07-07 17:00:00,17,4,7,0
25.9,6.9,118,0,216.0,0.0,166.8,93.39,92.81,47.66,0.99,7.59,25.64,1.59,2023-07-07 18:00:00,18,4,7,0
23.2,6.1,87,4,84.0,0.0,143.14,0.0,0.0,0.0,0.0,-0.32,24.01,2.34,2023-07-07 19:00:00,19,4,7,0
19.9,6.9,51,0,6.0,0.0,120.93,0.0,0.0,0.0,0.0,0.0,22.13,2.83,2023-07-07 20:00:00,20,4,7,0
19.4,8.7,60,61,0.0,0.0,104.33,0.0,0.0,0.0,0.0,0.0,20.93,3.03,2023-07-07 21:00:00,21,4,7,0
19.9,10.4,70,100,0.0,0.0,98.03,0.0,0.0,0.0,0.0,0.0,19.91,2.9,2023-07-07 22:00:00,22,4,7,0
19.5,11.2,69,2,0.0,0.0,88.63,0.0,0.0,0.0,0.0,0.0,18.92,2.62,2023-07-07 23:00:00,23,4,7,0
17.7,7.7,79,0,0.0,0.0,86.04,0.0,0.0,0.0,0.0,0.0,17.92,2.48,2023-07-08 00:00:00,0,5,7,1
17.1,8.0,72,57,0.0,0.0,82.23,0.0,0.0,0.0,0.0,0.0,16.81,2.21,2023-07-08 01:00:00,1,5,7,1
16.6,6.9,81,9,0.0,0.0,83.92,0.0,0.0,0.0,0.0,0.0,15.6,2.07,2023-07-08 02:00:00,2,5,7,1
14.8,5.4,70,0,0.0,0.0,83.71,1.83,0.0,9.84,0.14,1.35,14.49,1.86,2023-07-08 03:00:00,3,5,7,1
14.4,4.5,76,100,12.0,0.0,84.95,105.68,78.74,67.01,1.27,9.5,14.08,1.66,2023-07-08 04:00:00,4,5,7,1
15.6,2.7,67,0,91.0,0.0,87.11,197.97,144.84,110.83,2.99,18.4,15.64,1.24,2023-07-08 05:00:00,5,5,7,1
18.4,4.9,126,0,234.0,0.0,85.98,286.96,271.06,97.05,5.3,27.7,19.13,1.17,2023-07-08 06:00:00,6,5,7,1
21.0,5.8,120,100,375.0,0.0,79.52,325.95,312.12,106.55,7.09,37.07,21.93,1.17,2023-07-08 07:00:00,7,5,7,1
23.0,6.3,121,93,435.0,0.0,66.59,367.61,367.59,106.88,9.01,46.05,24.32,1.24,2023-07-08 08:00:00,8,5,7,1
25.6,7.5,125,29,604.0,0.0,52.17,390.68,412.76,95.46,10.44,53.93,26.44,1.17,2023-07-08 09:00:00,9,5,7,1
28.3,10.2,141,0,788.0,0.0,24.51,401.45,421.97,103.08,11.2,59.53,27.96,1.24,2023-07-08 10:00:00,10,5,7,1
29.7,14.8,166,0,857.0,0.0,10.95,405.84,428.18,102.46,11.48,61.29,28.79,1.66,2023-07-08 11:00:00,11,5,7,1
29.8,12.4,150,61,870.0,0.0,10.47,386.76,374.84,131.26,10.59,58.52,29.32,1.93,2023-07-08 12:00:00,12,5,7,1
30.3,13.1,148,51,772.0,0.0,26.87,357.82,356.5,114.13,9.53,52.25,29.68,1.79,2023-07-08 13:00:00,13,5,7,1
30.6,15.0,169,30,736.0,0.0,63.1,338.68,351.25,98.21,8.55,44.03,29.91,1.59,2023-07-08 14:00:00,14,5,7,1
30.4,7.7,127,45,559.0,0.0,83.42,289.9,290.28,99.2,6.57,34.91,30.08,1.38,2023-07-08 15:00:00,15,5,7,1
30.2,8.3,124,42,512.0,0.0,102.46,230.25,218.33,97.29,4.47,25.52,29.99,0.97,2023-07-08 16:00:00,16,5,7,1
29.3,7.0,102,65,356.0,0.0,118.97,157.53,149.65,74.96,2.47,16.28,29.74,0.48,2023-07-08 17:00:00,17,5,7,1
27.7,4.4,55,37,199.0,0.0,129.89,70.74,71.0,40.8,0.83,7.53,27.87,1.03,2023-07-08 18:00:00,18,5,7,1
25.1,3.9,34,100,71.0,0.0,134.08,0.0,0.0,0.0,0.0,-0.4,26.46,1.86,2023-07-08 19:00:00,19,5,7,1
24.2,5.7,35,74,5.0,0.0,125.21,0.0,0.0,0.0,0.0,0.0,24.22,1.93,2023-07-08 20:00:00,20,5,7,1
